uk:
Дзержинського|Дзержинского|287|5155761,8142245,8816621,23768604,24998644,25292935,25303127,25605196,27010942,32141110,33569495,33715940,36813327,37901641,39209048,39216854,39493913,41733905,43115172,49482571,53556999,53629224,54437888,54437890,56001491,56220975,57863753,58437497,59538673,59818194,60004249,72056181,72056184,72098625,74720889,77047557,80588798,85398613,86382896,88449145,90369408,91492691,91492693,96472211,98000399,98861010,99907684,101175665,103190971,104225612,104509848,105442617,106089993,106674536,106886027,109205422,109381377,109520614,109570549,109570553,109696505,109696511,109922468,110460195,111415362,111795154,111799271,111799272,114798541,115448946,115449359,115552370,115684949,116743162,117512370,118681962,118922608,118922623,120175389,120175390,120235569,120235572,120235581,120235584,120451758,125502970,125587051,125588494,126764887,126882297,129104400,129367747,130659533,131109309,131486538,132113789,134103477,134812670,135330250,135418716,135548967,136178144,136178145,136190797,137692161,137946676,139223369,140115464,140226625,141532161,142277637,142686483,142686484,142949844,143085467,145565148,147405229,148113963,149015516,149776717,149933009,150187656,150187718,150187746,151072764,151145882,151534366,152981724,156440539,160034542,160229000,160462793,160462794,160980893,160984169,161189377,162057125,162819171,163563470,163566154,163570689,164477738,164479188,164479222,166077267,166690067,168816535,168816536,169483548,170209477,171248432,172914807,172914808,174633926,176943957,179439704,179615688,182395217,182876919,184157020,184266543,185659993,185659997,186600983,187362024,188036715,188041058,188041063,190263067,191903802,192397140,193734749,193734754,193734773,193980116,194109015,194619574,199303654,202655442,204099089,206867654,206867655,207221554,208251802,209293083,210299963,210590381,210590382,213590149,213590166,214623473,219844664,220260650,221583884,221818480,223017975,223043442,225111294,225292367,227076046,227712900,228475890,233259902,233652211,233652212,233652213,233652214,234815250,237965913,238863321,238863322,239577649,241590080,242689647,244362001,244367024,244685287,248343579,248343582,249006310,250560656,252810164,252945359,252945362,253864032,254115762,254256947,254297827,254416615,260630323,264922501,277530609,278369105,286301572,287688060,288397036,290438691,292347340,297317179,297482102,297663481,298727744,298754869,298754874,298754885,299923352,304417895,306179557,306529080,310372810,315180326,316489783,316489784,316494868,318301537,318774195,319536840,319536866,321348611,324269765,325200717,328256983,329868300,334160375,335499903,335499904,335631501,335673625,336925964,336932761,338075830,345998606,359826866,359826867,359826989,359827017,362749286,362749287,362749288,366167469,366167470,366738568,371691308,374806635,377431122,384987307,397779291
Дзержинського|Дзержинського|1|302389638
Дзержинського|Швейцарская|1|53629224
Дмитра Багалія|Дмитрия Багалея|1|86038162
Дмитра Багалія|Дмитрия Багалия|4|102139542,170142856,170142873,360613387
Дмитра Вишневецького|Дмитрия Вишневецкого|7|118021032,194463463,231850171,240476314,301226337,301226340,368263515
Дмитра Вишневецького|Днепропетровская|1|34680030
Дмитра Вишневецького|Днепропетровский|2|34699453,34771743
Дмитра Вітовського|Витовского|1|381343800
Дмитра Вітовського|Дмитрия Витовского|12|24675265,73174156,83393035,83607956,88299268,127603996,153325797,163615923,172398690,292952505,292979024,309229547
